service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10217:10-7-4,0,0,1,0,0,0,0,20260218,20260218
10217:11-7-8,0,0,0,1,0,0,0,20260219,20260219
10217:12-7-16,0,0,0,0,1,0,0,20260220,20260220
10217:13-7-1,1,0,0,0,0,0,0,20260223,20260223
10217:14-7-2,0,1,0,0,0,0,0,20260224,20260224
10217:15-7-4,0,0,1,0,0,0,0,20260225,20260225
10217:16-7-8,0,0,0,1,0,0,0,20260226,20260226
10217:17-7-16,0,0,0,0,1,0,0,20260227,20260227
10217:18-7-127,1,1,1,1,1,1,1,20260301,20260628
10217:19-7-127,1,1,1,1,1,1,1,20260302,20260622
10217:20-7-127,1,1,1,1,1,1,1,20260303,20260623
10217:21-7-127,1,1,1,1,1,1,1,20260304,20260624
10217:22-7-127,1,1,1,1,1,1,1,20260305,20260625
10217:23-7-127,1,1,1,1,1,1,1,20260306,20260626
10217:24-7-32,0,0,0,0,0,1,0,20260307,20260627
10217:25-7-127,1,1,1,1,1,1,1,20260413,20260629
10217:26-7-127,1,1,1,1,1,1,1,20260414,20260630
10217:2-7-2,0,1,0,0,0,0,0,20260210,20260210
10217:27-7-4,0,0,1,0,0,0,0,20260415,20260422
10217:28-7-8,0,0,0,1,0,0,0,20260416,20260423
10217:29-7-127,1,1,1,1,1,1,1,20260417,20260515
10217:3-7-4,0,0,1,0,0,0,0,20260211,20260211
10217:4-7-8,0,0,0,1,0,0,0,20260212,20260212
10217:5-7-16,0,0,0,0,1,0,0,20260213,20260213
10217:6-7-32,0,0,0,0,0,1,0,20260214,20260228
10217:7-7-64,0,0,0,0,0,0,1,20260215,20260222
10217:8-7-1,1,0,0,0,0,0,0,20260216,20260216
10217:9-7-2,0,1,0,0,0,0,0,20260217,20260217
